Data_vygruzki,kadastr,object_type,build_year,name,wall_material,Etazh_raspolozheniya__dlya_pomescheniya__MM_,God_vvoda,Kod_podgruppy__iz_perechnya_,KN_roditelskogo_obyekta__dlya_pomescheniy_,Etazhnost__dlya_zdaniya__roditelya_,Naznachenie,Kod_NP__iz_perechnya_,Kod_rascheta_vida_ispolzovaniya__iz_perechnya_,address,permitted_use,Kategoriya,Vid_kharakteristiki,deal_type,KN_ZU__v_granitsakh_kotorogo_raspolozhen_OKS,Nalichie_OKS_v_granitsakh_ZU,Data_vydachi__dokumenta_osnovaniya,Data_registratsii_prava,price_per_sqm,Vid_zaregistrirovannogo_prava__Kod_,Kolichestvo_obyektov_nedvizhimosti,KS_s_perechnya,Dolya_CHislitel,Dolya_Znamenatel,sravnenie,Razmer_priobretaemoy_doli_ili_razmery_priobretaemykh_doley,ploshad_zu_v_sostave,area,price_total,Маркер_Выброса,object_type_code,wall_material_code
2025-04-01,89:10:010307:1637,Земельный участок,2015.0,,,,,,,,,10:0,02:071,"Ямало-Ненецкий автономный округ, муниципальный округ Надымский район, город Надым, проезд 7-й, земельный участок 7/6/61",хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-06,2025-01-14,27027.027027027027,001001000000,1,72617.67999999998,,,нет,,,37.0,1000000.0,,1.0,0.0
2025-04-01,89:13:010110:40,Земельный участок,2015.0,,,,,,,,,13:0,02:071,"Ямало-Ненецкий автономный округ, г Муравленко, ул Дружбы Народов, гаражный комплекс 2, секция 1, бокс 6",объекты гаражного назначения,Земли населенных пунктов,площадь,Купля-продажа,,89:13:010101:163,2024-12-25,2025-01-14,7821.360000000001,001001000000,1,84703.05,,,нет,,,45.0,351961.2,,1.0,0.0
2025-04-01,89:08:040201:1491,Земельный участок,2015.0,,,,,,,,,8:0,02:011,"Ямало-Ненецкий автономный округ, городской округ город Салехард, город Салехард, улица Ангальский Мыс","Для индивидуального жилищного строительства, код 2.1.",Земли населенных пунктов,площадь,Купля-продажа,,89:08:040201:599,2024-12-16,2025-01-16,227.61797244094487,001001000000,1,1450370.48,,,нет,,,508.0,115629.93,,1.0,0.0
2025-04-01,89:12:110808:160,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК ""Ханто-1"", ряд 42, гараж 62","земельные участки, предназначенные для размещения гаражей и автостоянок",Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-18,2025-01-22,32500.0,001001000000,1,60045.84,,,нет,,,24.0,780000.0,,1.0,0.0
2025-04-01,89:08:010108:69,Земельный участок,2015.0,,,,,,,,,8:0,02:071,"Ямало-Ненецкий автономный округ, г Салехард, ул Кирпичная, дом 21",Объекты гаражного назначения,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-20,2025-01-22,34672.65567314792,001001000000,1,127399.04,,,нет,,,32.0,2250000.0,Выброс,1.0,0.0
2025-04-01,89:12:000000:6558,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК ""Пелей-3"", ряд 7, гараж 41",Размещение гаражей для собственных нужд,Земли населенных пунктов,площадь,Купля-продажа,,89:12:000000:7025,2025-01-20,2025-01-22,2501.9100000000003,001001000000,1,65049.66,,,да,,,26.0,65049.66,,1.0,0.0
2025-04-01,89:14:020102:1502,Земельный участок,2015.0,,,,,,,,,14:0,02:071,"Ямало-Ненецкий автономный округ, городской округ город Губкинский, город Губкинский, территория Панель 2",Размещение гаражей для собственных нужд (2.7.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-20,2025-01-23,1540.5405405405406,001001000000,1,80501.64,,,нет,,,37.0,57000.0,,1.0,0.0
2025-04-01,89:12:110907:62,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Пелей-5, ряд 60А, гараж № 7","земельные участки, предназначенные для разработки полезных ископаемых, размещения ж/д путей, автомобильных дорог, искусственно созданных внутренних водных путей, причалов, пристаней, полос отвода железных и автомобильных дорог, водных путей, трубопроводов, кабельных, радиорелейных и воздушных линий связи и линий радиофикации, воздушных линий электропередачи конструктивных элементов и сооружений, объектов, необходимых для эксплуатации, содержания, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств транспорта, энергетики и связи; размещения наземных сооружений и инфраструктуры спутниковой связи, объектов космической деятельности, военных объектов",Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-24,2025-01-27,31250.0,001001000000,1,60045.84,,,нет,,,24.0,750000.0,,1.0,0.0
2025-04-01,89:05:020112:268,Земельный участок,2015.0,,,,,,,,,5:0,02:011,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, мкр Окуневый, участок № 72.",Для индивидуального жилищного строительства,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-21,2025-01-27,1079.734219269103,001001000000,1,1627537.1,,,нет,,,602.0,650000.0,,1.0,0.0
2025-04-01,89:08:070101:2633,Земельный участок,2015.0,,,,,,,,,8:2,01:000,"Ямало-Ненецкий автономный округ, Городской округ город Салехард, Фермерское хозяйство-1, Участок № 31","сельскохозяйственное использование, код 1.0",Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-01-25,2025-01-28,759.0132827324478,001001000000,1,700.91,,,нет,,,527.0,400000.0,,1.0,0.0
2025-04-01,89:04:020106:2289,Земельный участок,2015.0,,,,,,,,,4:0,02:071,"Ямало-Ненецкий автономный округ, муниципальный округ Надымский район, поселок городского типа Пангоды, территория КСЭГ Таежный-2001, земельный участок 5/21",Хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-24,2025-01-28,8620.689655172413,001001000000,1,41850.48,,,нет,,,29.0,250000.0,,1.0,0.0
2025-04-01,89:14:010125:423,Земельный участок,2015.0,,,,,,,,,14:0,02:071,"Ямало-Ненецкий автономный округ, г Губкинский, гаражный массив 11, блок 6/Д, гараж 8",хранение автотранспорта(2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-28,2025-01-29,15918.367346938776,001001000000,1,133596.54,,,нет,,,49.0,780000.0,,1.0,0.0
2025-04-01,89:12:160107:4,Земельный участок,2015.0,,,,,,,,,12:0:2,02:011,"Ямало-Ненецкий автономный округ, Городской округ город Ноябрьск, г Ноябрьск, мкр Вынгапуровский, ул Ленина, участок № 11",Земли населенных пунктов,Земли населенных пунктов,площадь,Купля-продажа,,89:12:000000:10175; 89:12:000000:10176; 89:12:000000:10177; 89:12:160107:63,2025-01-29,2025-01-31,13343.799058084773,001001000000,1,552909.63,,,нет,,,637.0,8500000.0,,1.0,0.0
2025-04-01,89:08:010108:876,Земельный участок,2015.0,,,,,,,,,8:0,02:011,"Ямало-Ненецкий автономный округ, г Салехард, ул Набережная, земельный участок 49а","для индивидуального жилищного строительства, код 2.1",Земли населенных пунктов,площадь,Купля-продажа,,89:08:010108:1060;89:08:010108:161,2025-01-30,2025-02-03,11135.8574610245,001001000000,1,3055723.38,,,нет,,,898.0,10000000.0,,1.0,0.0
2025-04-01,89:08:010301:12,Земельный участок,2015.0,,,,,,,,,8:0,06:000,"Ямало-Ненецкий автономный округ, городской округ город Салехард, город Салехард, улица Броднева, земельный участок 40в","производственная деятельность, код 6.0.",Земли населенных пунктов,площадь,Купля-продажа,,89:08:000000:1282;89:08:010305:476;89:08:010305:477;89:08:010305:478;89:08:010305:479;89:08:010305:480;89:08:010305:481;89:08:010305:482;89:08:010305:483;89:08:010305:484;89:08:010305:485,2025-02-03,2025-02-03,13664.596273291925,001001000000,1,455605.85,,,нет,,,805.0,11000000.0,,1.0,0.0
2025-04-01,89:14:030103:2633,Земельный участок,2015.0,,,,,,,,,14:1,13:011,"Ямало-Ненецкий автономный округ, городской округ город Губкинский, город Губкинский, зона (массив) Садово-огороднический, линия 6, земельный участок 332",ведение огородничества (13.1),Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2024-12-26,2025-02-03,469.97999999999996,001001000000,1,266478.66,,,да,,,567.0,266478.66,,1.0,0.0
2025-04-01,89:08:070101:2273,Земельный участок,2015.0,,,,,,,,,8:2,13:021,"Ямало-Ненецкий автономный округ, городской округ город Салехард, территория дачного некоммерческого товарищества «Север», улица Грибная, земельный участок 75в","ведение садоводства, код 13.2.",Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-02-01,2025-02-04,2098.7394957983192,001001000000,1,426881.56,,,нет,,,476.0,999000.0,,1.0,0.0
2025-04-01,89:11:040101:7582,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, г Новый Уренгой, район Северный",Ведение садоводства,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-20,2025-02-06,246.1044776119403,001001000000,1,742009.5899999999,,,нет,,,603.0,148401.0,,1.0,0.0
2025-04-01,89:08:010305:1968,Земельный участок,2015.0,,,,,,,,,8:0,02:011,"Ямало-Ненецкий автономный округ, городской округ город Салехард, город Салехард, улица Набережная, земельный участок 78а","для индивидуального жилищного строительства, код 2.1.",Земли населенных пунктов,площадь,Купля-продажа,,89:08:010305:2035;89:08:010305:3433,2025-02-08,2025-02-10,31565.217391304348,001003000000,1,2054446.25,,,нет,,,575.0,18150000.0,,1.0,0.0
2025-04-01,89:03:020502:234,Земельный участок,2015.0,,,,,,,,,3:1,02:011,"Ямало-Ненецкий автономный округ, муниципальный округ Ямальский район, село Новый Порт, улица Вануйто Папули, земельный участок 15",для индивидуального жилищного строительства (2.1),Земли населенных пунктов,площадь,Купля-продажа,,89:03:020501:492;89:03:020502:1110,2025-01-31,2025-02-11,11144.130757800891,001001000000,1,310609.69,,,нет,,,673.0,7500000.0,,1.0,0.0
2025-04-01,89:08:070101:6673,Земельный участок,2015.0,,,,,,,,,8:2,01:050,"Ямало-Ненецкий автономный округ, г Салехард, тер Фермерское хозяйство-2",Садоводство (1.5),Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-02-10,2025-02-12,100.20040080160321,001001000000,1,99151.3,,,нет,,,998.0,100000.0,,1.0,0.0
2025-04-01,89:08:010304:481,Земельный участок,2015.0,,,,,,,,,8:0,02:011,"Ямало-Ненецкий автономный округ, городской округ город Салехард, город Салехард, улица 3-я Береговая, земельный участок 5","для индивидуального жилищного строительства, код 2.1.",Земли населенных пунктов,площадь,Купля-продажа,,89:08:010304:2652;89:08:010304:3344,2025-02-07,2025-02-12,9771.98697068404,001001000000,1,1486113.32,,,нет,,,614.0,6000000.0,,1.0,0.0
2025-04-01,89:12:110817:93,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Ханто-2, ряд 14, гараж №24",для размещения гаражей и автостоянок,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-11,2025-02-13,28000.0,001001000000,1,60045.84,,,нет,,,25.0,700000.0,,1.0,0.0
2025-04-01,89:11:040101:3591,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, г Новый Уренгой, район Северный, на территории дачного некоммерческого товарищества «Лира»",ведение дачного хозяйства,Земли населенных пунктов,площадь,Купля-продажа,,89:11:040101:5201,2025-02-10,2025-02-13,7666.666666666667,001001000000,1,738318.0,,,нет,,,600.0,4600000.0,,1.0,0.0
2025-04-01,89:14:030103:2630,Земельный участок,2015.0,,,,,,,,,14:1,13:021,"Ямало-Ненецкий автономный округ, городской округ город Губкинский, город Губкинский, зона (массив) Садово-огороднический, линия 8, земельный участок 721",Ведение садоводства,Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-02-10,2025-02-14,1846.3073852295408,001001000000,1,235459.98,,,нет,,,501.0,925000.0,,1.0,0.0
2025-04-01,89:11:030301:3243,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, г Новый Уренгой, в районе Южный, на территории потребительского кооператива ""Дачный кооператив ""Простоквашино""",малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),Земли населенных пунктов,площадь,Купля-продажа,,89:11:030301:3989,2025-02-11,2025-02-14,1709.4017094017095,001001000000,1,604679.4,,,нет,,,585.0,1000000.0,,1.0,0.0
2025-04-01,89:08:070101:6855,Земельный участок,2015.0,,,,,,,,,8:2,13:021,"Ямало-Ненецкий автономный округ, г Салехард, ДНТ Север,улица Таёжная","ведение садоводства, код 13.2",Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-02-13,2025-02-17,17293.233082706767,001001000000,1,596378.65,,,нет,,,665.0,11500000.0,,1.0,0.0
2025-04-01,89:11:040101:7994,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, городской округ город Новый Уренгой, город Новый Уренгой, район Северный",Ведение садоводства (код 13.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-25,2025-02-17,246.105993485342,001001000000,1,755545.42,,,нет,,,614.0,151109.08,,1.0,0.0
2025-04-01,89:05:020113:262,Земельный участок,2015.0,,,,,,,,,5:0,04:010,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, г Тарко-Сале, промзона",деловое управление,Земли населенных пунктов,площадь,Купля-продажа,,89:05:020113:378,2025-01-29,2025-02-17,2038.3199632352942,001001000000,1,745464.9599999998,,,нет,,,544.0,1108846.06,,1.0,0.0
2025-04-01,89:11:040101:7897,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, г Новый Уренгой, район Северный",Ведение садоводства (код 13.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-01-29,2025-02-17,246.10600000000002,001001000000,1,1476636.0,,,нет,,,1200.0,295327.2,,1.0,0.0
2025-04-01,89:09:110402:33,Земельный участок,2015.0,,,,,,,,,9:2,02:071,"Ямало-Ненецкий автономный округ, р-н Приуральский, п Харп, кв-л Северный, дом 3",хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-14,2025-02-18,25666.666666666668,001001000000,1,107709.0,,,нет,,,60.0,1540000.0,,1.0,0.0
2025-04-01,89:12:110815:23,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Ханто-2, ряд 47, гараж 58",для размещения гаражей и автостоянок,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-14,2025-02-18,18260.869565217392,001001000000,1,60045.84,,,нет,,,23.0,420000.0,,1.0,0.0
2025-04-01,89:12:110403:1654,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, город  Ноябрьск, ул. Строителей, земельный участок 4/42",размещение гаражей для собственных нужд,Земли населенных пунктов,площадь,Купля-продажа,,89:12:110403:699,2025-02-13,2025-02-19,2551.9500000000003,001001000000,1,0.0,,,нет,,,24.0,61246.8,,1.0,0.0
2025-04-01,89:12:110403:1655,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, город  Ноябрьск, ул. Строителей, земельный участок 4/43",размещение гаражей для собственных нужд,Земли населенных пунктов,площадь,Купля-продажа,,89:12:110403:695,2025-02-13,2025-02-19,2551.9500000000003,001001000000,1,0.0,,,нет,,,24.0,61246.8,,1.0,0.0
2025-04-01,89:12:110814:470,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, Гаражный комплекс Ханто-2, ряд 11, гараж 46","земельные участки, предназначенные для размещения гаражей и автостоянок",Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-15,2025-02-19,28000.0,001001000000,1,60045.84,,,нет,,,25.0,700000.0,,1.0,0.0
2025-04-01,89:12:110603:2923,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, городской округ город Ноябрьск, город Ноябрьск, улица Советская, земельный участок 24г/2",размещение гаражей для собственных нужд (код 2.7.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-15,2025-02-19,25000.0,001001000000,1,0.0,,,нет,,,26.0,650000.0,,1.0,0.0
2025-04-01,89:10:010306:4239,Земельный участок,2015.0,,,,,,,,,10:0,02:071,"Ямало-Ненецкий автономный округ, г Надым, проезд 15, земельный участок 8/1/2",хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-11-21,2025-02-19,11875.0,001001000000,1,47103.36,,,нет,,,24.0,285000.0,,1.0,0.0
2025-04-01,89:12:110903:83,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ул Магистральная, ГПК ""Магистраль"", ряд 4, гараж 4","земельные участки, предназначенные для размещения гаражей и автостоянок",Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-15,2025-02-19,9677.41935483871,001001000000,1,77559.21,,,нет,,,31.0,300000.0,,1.0,0.0
2025-04-01,89:11:040101:8101,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, городской округ город Новый Уренгой, город Новый Уренгой, район Северный",Ведение садоводства (код 13.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-18,2025-02-20,1666.6666666666667,001001000000,1,0.0,,,нет,,,600.0,1000000.0,,1.0,0.0
2025-04-01,89:07:010101:6389,Земельный участок,2015.0,,,,,,,,,7:0,02:031,"Ямало-Ненецкий автономный округ, р-н Красноселькупский, с Красноселькуп, ул Восточная, д 14",блокированная жилая застройка,Земли населенных пунктов,площадь,Купля-продажа,,89:07:010101:6372,2024-12-31,2025-02-20,5384.615384615385,001001000000,1,454278.5,,,нет,,,650.0,3500000.0,,1.0,0.0
2025-04-01,89:11:030301:1445,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, г Новый Уренгой, Восточная промзона, ДПК Дунай",малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),Земли населенных пунктов,площадь,Купля-продажа,,89:11:030301:4484,2025-02-20,2025-02-21,10975.609756097561,001001000000,1,466171.64,,,нет,,,451.0,4950000.0,,1.0,0.0
2025-04-01,89:10:020101:802,Земельный участок,2015.0,,,,,,,,,10:0:2,13:021,"Ямало-Ненецкий автономный округ, г Надым, вдоль автодороги на 107 км, ДОК ""Сады Ямала"", участок №68",Ведение садоводства (13.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2025-02-20,2025-02-21,218.75,001001000000,1,223242.24,,,нет,,,1024.0,224000.0,,1.0,0.0
